name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Silicon Power SP016GLLTU160N22 16 GB,17.98,"3,1600","2,8",1.124,Green,13.75,11
TEAMGROUP T-Create Expert 32 GB,94.99,"5,6000","2,16",2.968,Black,12.667,38
Kingston HyperX Fury 8 GB,50.99,"4,2666","1,8",6.374,Black,12.003,16
Corsair Vengeance 32 GB,124.99,"5,6000","2,16",3.906,Black / Silver,10,30
Corsair Vengeance RGB 32 GB,135.99,"5,6000","2,16",4.25,White / Silver,10,30
KingBank SharpBlade 32 GB,86.99,"5,6000","2,16",2.718,Black,12,36
Patriot Viper Venom 32 GB,97.99,"5,6000","2,16",3.062,Black / White,12,36
TEAMGROUP T-Force Delta RGB 32 GB,121.99,"5,7200","2,16",3.812,White / Gray,9.444,34
Corsair Dominator Platinum RGB 64 GB,349.99,"5,6600","4,16",5.469,Black,9.697,32
Corsair Vengeance 192 GB,629.99,"5,5200","4,48",3.281,Black,14.615,38
Kingston FURY Beast 16 GB,64.39,"5,5200","2,8",4.024,Black,15.385,40
Corsair Vengeance LPX 64 GB,142.99,"4,3600","2,32",2.234,Black,10,18
Crucial CT8G48C40U5 8 GB,22.99,"5,4800","1,8",2.874,Black,16.667,40
Silicon Power XPOWER Zenith Gaming 32 GB,86.99,"5,6000","2,16",2.718,Black,10,30
G.Skill Aegis 32 GB,65.98,"4,3200","2,16",2.062,Red / Black,10,16
TEAMGROUP Elite 32 GB,75.98,"5,4800","2,16",2.374,Black,16.667,40
G.Skill Trident Z5 RGB 48 GB,249.99,"5,8000","2,24",5.208,Black,10,40
TEAMGROUP T-Create Expert 64 GB,184.99,"5,6000","2,32",2.89,Black,11.333,34
Corsair Vengeance RGB 32 GB,124.99,"5,6000","2,16",3.906,Black / Gray,10,30
ADATA XPG Lancer Blade RGB 32 GB,109.99,"5,6000","2,16",3.437,Black,10,30
Corsair Vengeance LPX 16 GB,44.98,"4,3000","2,8",2.811,Black / Yellow,10,15
Kingston Server Premier 64 GB,176.49,"4,3200","1,64",2.758,,13.75,22
Crucial CT8G4DFRA32A 8 GB,19.98,"4,3200","1,8",2.498,Green,13.75,22
Corsair Dominator Titanium 32 GB,167.99,"5,6000","2,16",5.25,Black,10,30
Kingston FURY Beast RGB 64 GB,224.99,"5,6000","2,32",3.515,Black,12,36
Corsair Vengeance 64 GB,172.99,"5,5600","2,32",2.703,Black,14.286,40
G.Skill Ripjaws V 16 GB,39.99,"4,3600","2,8",2.499,Black,10,18
Corsair Vengeance RGB Pro 64 GB,189.99,"4,3600","4,16",2.969,Black,10,18
Corsair Vengeance 32 GB,159.99,"5,7200","2,16",5,Gray,9.444,34
TEAMGROUP T-Force Vulcan 32 GB,87.99,"5,5200","2,16",2.75,Black,15.385,40
Klevv BOLT V 32 GB,98.99,"5,6000","2,16",3.093,Black,10,30
Corsair Vengeance 32 GB,99.99,"5,5600","2,16",3.125,Black / Gray,14.286,40
Kingston ValueRAM 4 GB,11.99,"4,2666","1,4",2.998,Green / Black,14.254,19
TEAMGROUP T-Force Delta RGB 32 GB,102.99,"5,6400","2,16",3.218,Black,10,32
Crucial Pro 96 GB,259.99,"5,5600","2,48",2.708,Black,16.429,46
TEAMGROUP T-Force Delta RGB 16 GB,46.99,"4,3200","2,8",2.937,White,10,16
G.Skill Trident Z RGB 16 GB,54.99,"4,3200","2,8",3.437,Black,10,16
Corsair Dominator Platinum RGB 64 GB,299.99,"5,6800","2,32",4.687,Black,11.765,40
G.Skill Ripjaws S5 64 GB,204.99,"5,6400","2,32",3.203,Black,10,32
Corsair Vengeance RGB Pro 32 GB,117.99,"4,3200","4,8",3.687,Black,10,16
Corsair Vengeance RGB 32 GB,104.95,"5,5600","2,16",3.28,Black / Gray,14.286,40
G.Skill Trident Z RGB 32 GB,82.98,"4,3600","2,16",2.593,Black,10,18
Corsair Vengeance 96 GB,339.99,"5,6000","2,48",3.542,Black / Silver,10,30
Samsung Green 8 GB,14,"4,2133","1,8",1.75,Green / Black,14.065,15
ADATA XPG SPECTRIX D50 16 GB,54.99,"4,3200","2,8",3.437,White,10,16
TEAMGROUP T-Create Expert 32 GB,60.99,"4,3600","2,16",1.906,Gray,10,18
Corsair Vengeance 32 GB,102.99,"5,5200","2,16",3.218,White,15.385,40
TEAMGROUP T-Force Delta RGB 64 GB,184.99,"5,6000","2,32",2.89,Black / Silver,12.667,38
Corsair Dominator Titanium 64 GB,289.99,"5,6000","2,32",4.531,White,10,30
Corsair Vengeance RGB 32 GB,117.99,"5,6000","2,16",3.687,White / Silver,12,36
Supermicro MEM-DR412L-SL02-LR26 128 GB,,"4,2666","1,128",,Green / Black,16.504,22
TEAMGROUP Elite 16 GB,31.99,"4,3200","2,8",1.999,Black,13.75,22
Kingston FURY Beast 16 GB,49,"4,3600","2,8",3.062,Black,9.444,17
Kingston FURY Beast 128 GB,445.9,"5,5600","4,32",3.484,White,14.286,40
Samsung M378A1K43CB2-CRC 8 GB,15.5,"4,2400","1,8",1.938,Green,14.167,17
G.Skill Trident Z5 RGB 32 GB,164.99,"5,7600","2,16",5.156,Black,9.474,36
Kingston ValueRAM 4 GB,22.6,"4,3200","1,4",5.65,Green,13.75,22
Corsair Vengeance RGB 32 GB,159.99,"5,7200","2,16",5,Black,9.444,34
G.Skill Trident Z5 Neo RGB 32 GB,109.99,"5,6400","2,16",3.437,,10,32
TEAMGROUP T-Force Delta RGB 32 GB,104.28,"5,6000","2,16",3.259,Black,12.667,38
Corsair Vengeance 32 GB,114.99,"5,6000","2,16",3.593,Black,12,36
Patriot Viper Elite 5 RGB 32 GB,99.99,"5,6200","2,16",3.125,White,13.548,42
Crucial Pro 64 GB,116.99,"4,3200","2,32",1.828,Black / Green,13.75,22
G.Skill Trident Z5 RGB 32 GB,189.99,"5,7800","2,16",5.937,Black,9.231,36
G.Skill Trident Z RGB 128 GB,294.99,"4,3600","4,32",2.305,Black,10,18
G.Skill Trident Z5 Neo RGB 64 GB,214.99,"5,6000","2,32",3.359,Silver / Black,10,30
TEAMGROUP T-Create Expert 32 GB,94.99,"5,6400","2,16",2.968,White,10,32
Corsair Vengeance RGB 96 GB,349.99,"5,6000","2,48",3.646,Black / Silver,10,30
G.Skill Ripjaws V 32 GB,84.99,"4,4400","2,16",2.656,Black,8.636,19
KingBank SharpBlade RGB 32 GB,97.99,"5,6400","2,16",3.062,White,10,32
Patriot Viper Venom 32 GB,112.99,"5,7000","2,16",3.531,Black / White,9.143,32
Corsair Vengeance LPX 16 GB,44.99,"4,2666","2,8",2.812,White,12.003,16
Samsung M378A2K43CB1-CTD 16 GB,30,"4,2666","1,16",1.875,Green / Black,14.254,19
Corsair Vengeance 16 GB,64.98,"5,5200","1,16",4.061,Black,15.385,40
TEAMGROUP T-Create Expert 32 GB,52.99,"4,3200","2,16",1.656,Gray,10,16
Crucial Ballistix 16 GB,,"4,3200","2,8",,Black,10,16
Corsair Dominator Titanium 96 GB,474.99,"5,6000","4,24",4.948,Black,10,30
TEAMGROUP T-Force Delta RGB 32 GB,99.99,"5,5600","2,16",3.125,White,11.429,32
Corsair Vengeance 64 GB,169.99,"5,5200","2,32",2.656,White,15.385,40
TEAMGROUP T-Force Vulcan 32 GB,104.99,"5,6400","2,16",3.281,Black / Silver,10,32
G.Skill Ripjaws X 16 GB,36.99,"3,1600","2,8",2.312,Black / Red,12.5,10
Klevv BOLT X 16 GB,38.99,"4,3600","2,8",2.437,Black,10,18
G.Skill Aegis 16 GB,35.99,"4,3000","2,8",2.249,Black / Red,10.667,16
G.Skill Ripjaws S5 96 GB,329.99,"5,6400","2,48",3.437,Black,10,32
Corsair Dominator Titanium 32 GB,199.99,"5,7200","2,16",6.25,White,9.444,34
Kingston FURY Beast 32 GB,117.99,"5,5600","2,16",3.687,Black,12.857,36
Corsair Vengeance LPX 16 GB,47.99,"4,3600","2,8",2.999,Black / Yellow,10,18
Crucial CT64G4YFQ426S 64 GB,649.95,"4,2666","1,64",10.155,Green / Black,14.254,19
Kingston FURY Beast RGB 16 GB,54.99,"4,3200","2,8",3.437,Black,10,16
G.Skill Trident Z Royal 32 GB,105.99,"4,3600","2,16",3.312,Silver,10.556,19
Patriot Viper Steel 32 GB,67.99,"4,3200","2,16",2.125,Silver / Black,10,16
TEAMGROUP T-Create Classic 16 GB,32.49,"4,3200","2,8",2.031,Silver,13.75,22
TEAMGROUP Elite 16 GB,49.99,"5,4800","2,8",3.124,Black,16.667,40
Patriot Viper Steel 16 GB,43.99,"4,3200","2,8",2.749,Silver / Black,10,16
G.Skill Trident Z Royal 256 GB,1499,"4,3600","8,32",5.855,Gold,10,18
Patriot Viper 4 Blackout 64 GB,116.99,"4,3600","2,32",1.828,Black,10,18
Patriot Viper Xtreme 5 32 GB,169.99,"5,8200","2,16",5.312,Black,9.268,38
G.Skill Trident Z5 RGB 32 GB,112.99,"5,6000","2,16",3.531,White / Black,10,30
G.Skill Ripjaws V 64 GB,128.99,"4,3600","2,32",2.015,Black,10,18
TEAMGROUP Elite Plus 16 GB,52.99,"5,4800","2,8",3.312,Black,16.667,40
Kingston FURY Beast 64 GB,219.99,"5,6000","2,32",3.437,Black / Silver,12,36
Corsair Vengeance 64 GB,279.99,"5,6600","4,16",4.375,Black / Gray,9.697,32
Corsair Vengeance LPX 32 GB,94.99,"4,3600","2,16",2.968,Black / Yellow,8.889,16
Corsair Vengeance LPX 16 GB,39.99,"4,3000","1,16",2.499,Black,10.667,16
Corsair Vengeance 32 GB,119.99,"5,6000","2,16",3.75,Gray,12,36
G.Skill Trident Z5 RGB 32 GB,239.99,"5,8000","2,16",7.5,Black,9.5,38
Corsair Dominator Platinum RGB 64 GB,224.99,"5,5600","2,32",3.515,White,14.286,40
TEAMGROUP T-Force Vulcan 32 GB,92.99,"5,5600","2,16",2.906,Black,11.429,32
TEAMGROUP T-Force Delta RGB 32 GB,99.99,"5,5600","2,16",3.125,Black,11.429,32
Corsair Vengeance RGB Pro 64 GB,149.99,"4,3200","2,32",2.344,Black,10,16
Kingston FURY Beast RGB 16 GB,81.99,"5,6000","2,8",5.124,Black,13.333,40
Corsair Vengeance RGB 64 GB,207.99,"5,6000","2,32",3.25,Black,13.333,40
Corsair Vengeance LPX 128 GB,264.99,"4,3200","4,32",2.07,Black / Yellow,10,16
TEAMGROUP T-Force Delta RGB 32 GB,121.99,"5,7200","2,16",3.812,Black / White,9.444,34
TEAMGROUP T-Force Delta RGB 16 GB,46.99,"4,3200","2,8",2.937,Black,10,16
Kingston KVR1333D3N9HK2/8G 8 GB,49.99,"3,1333","2,4",6.249,Green,13.503,9
Corsair Dominator Titanium 48 GB,279.99,"5,7600","2,24",5.833,Black,9.474,36
Corsair Vengeance RGB 64 GB,279.99,"5,6000","4,16",4.375,Black,12,36
TEAMGROUP Elite 16 GB,39.99,"5,4800","1,16",2.499,Black,16.667,40
Corsair Vengeance LPX 16 GB,54.99,"4,3600","2,8",3.437,Black / Yellow,8.889,16
G.Skill Trident Z Royal 128 GB,2265.13,"4,3200","4,32",17.696,Gold,10,16
Corsair Vengeance LPX 32 GB,92.99,"4,3600","4,8",2.906,Black / Yellow,10,18
Corsair Vengeance 96 GB,269.99,"5,5200","2,48",2.812,Black,14.615,38
TEAMGROUP T-Create Expert 32 GB,119.99,"5,7200","2,16",3.75,Black,9.444,34
G.Skill Trident Z RGB 256 GB,886.87,"4,3600","8,32",3.464,,8.889,16
Kingston FURY Beast 32 GB,84.99,"4,3600","2,16",2.656,Black,10,18
G.Skill Trident Z Neo 16 GB,66.98,"4,3600","2,8",4.186,Black / Silver,8.889,16
Lexar THOR 32 GB,76.03,"4,3200","2,16",2.376,Black,10,16
OLOy MD4U0836180BHKDA 16 GB,34.97,"4,3600","2,8",2.186,Black,10,18
Corsair Dominator Titanium 48 GB,249.99,"5,7200","2,24",5.208,White,10,36
Crucial CT16G4DFRA32A 16 GB,33.99,"4,3200","1,16",2.124,Green,13.75,22
Corsair Dominator Titanium 64 GB,359.99,"5,6400","4,16",5.625,Black,10,32
TEAMGROUP Elite 16 GB,29.99,"4,3200","1,16",1.874,Black,13.75,22
Crucial CT2K16G48C40U5 32 GB,87.66,"5,4800","2,16",2.739,Black,16.667,40
Corsair Dominator Titanium 64 GB,289.99,"5,6000","2,32",4.531,Black,10,30
G.Skill Trident Z RGB 96 GB,339.99,"5,6400","2,48",3.542,Black,10,32
TEAMGROUP T-Create Expert 32 GB,94.99,"5,6000","2,16",2.968,White,12.667,38
Corsair Vengeance RGB 32 GB,127.99,"5,6000","2,16",4,Black,12,36
OLOy OWL RGB 16 GB,42.99,"4,3200","2,8",2.687,White,10,16
G.Skill Trident Z5 RGB 64 GB,214.99,"5,6000","2,32",3.359,Black,10,30
Kingston FURY Beast 16 GB,44.85,"4,3200","1,16",2.803,Black,10,16
Corsair Vengeance LPX 16 GB,41.99,"4,2400","2,8",2.624,Black / Yellow,13.333,16
Corsair Vengeance RGB Pro 16 GB,63.99,"4,3600","2,8",3.999,White,10,18
Patriot Signature Premium 16 GB,24.99,"4,2666","1,16",1.562,Black,14.254,19
Kingston FURY 32 GB,146.3,"5,6000","2,16",4.572,White,13.333,40
TEAMGROUP T-Force Vulcan Z 64 GB,114.99,"4,3200","2,32",1.797,Gray,10,16
Mushkin Redline ST 64 GB,209.99,"5,6400","2,32",3.281,Black,9.375,30
Corsair Vengeance RGB 32 GB,129.99,"5,6400","2,16",4.062,White / Black,11.25,36
G.Skill Trident Z RGB 32 GB,109.99,"4,3200","4,8",3.437,Black,10,16
Corsair Vengeance RGB RS 16 GB,59.99,"4,3200","2,8",3.749,Black / Gray,10,16
Kingston FURY Beast 16 GB,58.99,"5,5200","1,16",3.687,Black / Silver,15.385,40
TEAMGROUP T-Force Vulcan 32 GB,96.99,"5,5600","2,16",3.031,Red,11.429,32
TEAMGROUP T-Force Delta RGB 32 GB,67.98,"4,3200","2,16",2.124,Black,10,16
Lexar Ares RGB 32 GB,165.99,"5,6400","2,16",5.187,White,10,32
Samsung M378B5173DB0-CK0 4 GB,12.83,"3,1600","1,4",3.208,Green,13.75,11
OLOy MD4U1636181CHKDA 32 GB,71.99,"4,3600","2,16",2.25,Black,10,18
