name,price,tracking_method,connection_type,max_dpi,hand_orientation,color
Corsair NIGHTSABRE RGB,169.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
SteelSeries Rival 3,39,Optical,Wireless,18000,Right,Black
Glorious Model O 2,74.98,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
SteelSeries Rival 650 Wireless,59.99,Optical,Wireless,12000,Right,Black
Asus ROG HARPE ACE AIM LAB EDITION,108,Optical,"Wired, Wireless",36000,Right,White
Logitech G600 MMO Gaming Mouse,108.16,Laser,Wired,8200,Right,Black
Corsair M75 AIR,99.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Logitech MX MASTER 3S,92.99,Optical,Wireless,8000,Right,White
Corsair IRONCLAW RGB WIRELESS,59.99,Optical,Wireless,18000,Right,Black
Razer Cobra Pro,125.1,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
Logitech G403 HERO,49.99,Optical,Wired,25600,Right,Black / Blue
Razer DeathAdder Essential,24.65,Optical,Wired,6400,Right,Black / Green
Razer Viper,54.99,Optical,Wired,16000,Both,Black / Green
Asus P707 ROG SPATHA X,129.99,Optical,Wireless,19000,Right,Black
Redragon M602,19.98,Optical,Wired,7200,Right,Black
Razer Viper Ultimate w/Dock,,Optical,Wireless,20000,Both,Pink
Razer Viper V3 HyperSpeed,69.98,Optical,Wireless,30000,Right,Black
Razer Basilisk Ultimate,77.09,Optical,"Wired, Wireless",20000,Right,Black / Green
Razer Naga Pro,97.96,Optical,Wireless,20000,Right,Black
SteelSeries Rival 600,37.45,Optical,Wired,12000,Right,Black
Glorious MODEL D,39.99,Optical,Wired,12000,Right,White
Logitech T650,407.62,Touchpad,Wireless,,Both,Silver
Glorious Model O,77,Optical,Wireless,19000,Right,Black
Logitech MX MASTER 3S,91.99,Optical,Wireless,8000,Right,Black
Razer DeathAdder Elite,42.57,Optical,Wired,16000,Right,Black / Green
Razer Viper Ultimate,129.99,Optical,Wireless,20000,Both,Black
Logitech G102 LIGHTSYNC RGB,31.65,Optical,Wired,8000,Right,Black
Razer Cobra,39.99,Optical,Wired,8500,Right,Black
Cooler Master MM730,15,Optical,Wired,16000,Right,White / Gray
Razer Mamba Elite,42.95,Optical,Wired,16000,Right,Black
Corsair M65 RGB ELITE,,Optical,Wired,17995,Right,White
Corsair M65 RGB ULTRA WIRELESS,99.99,Optical,Wireless,26000,Right,
Verbatim Bravo,6.99,Optical,Wired,,Both,Black
Logitech G903 HERO,109.99,Optical,Wireless,25600,Both,Black
Redragon M908 IMPACT MMO,34.68,Optical,Wired,12400,Right,Black
SteelSeries Aerox 3,74.98,Optical,Wired,8500,Right,Black
Lamzu Atlantis OG,,Optical,"Wired, Wireless",26000,Right,White / Blue
Logitech PRO Wireless,279.44,Optical,Wireless,25600,Both,Black
Logitech G305 LIGHTSPEED,39.99,Optical,Wireless,12000,Right,Purple
Logitech G705,73.37,Optical,"Wired, Wireless, Bluetooth Wireless",8200,Right,White
Corsair DARK CORE RGB PRO,64.98,Optical,Wireless,18000,Right,Black
Razer Naga Chroma,209.99,Laser,Wired,16000,Right,Black
Razer Basilisk Ultimate,99.99,Optical,Wireless,20000,Right,Black
HP HyperX Pulsefire Haste,55.99,Optical,Wireless,16000,Right,Black
Glorious Model I 2,99.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Microsoft Comfort Mouse 6000,,Optical,Wired,1000,Right,Black
Corsair M65 RGB ULTRA,59,Optical,Wired,26000,Right,Black / Silver
Corsair SCIMITAR ELITE WIRELESS MMO,129.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Logitech G502 SE HERO,51.95,Optical,Wired,25600,Right,Black / Silver
Logitech MX MASTER 2S (Black),67.16,Laser,Wireless,4000,Right,Black
ROCCAT KONE Pro,19.98,Optical,Wired,19000,Right,Black
Logitech G Pro X Superlight,142.41,Optical,Wireless,25400,Right,Pink
Razer Viper Mini Signature Edition,,Optical,"Wired, Wireless",30000,Right,Black
HP HyperX Pulsefire Haste 2,89.99,Optical,"Wired, Wireless, Bluetooth Wireless",3200,Right,Black
Logitech G604 LIGHTSPEED,149.99,Optical,Wireless,25600,Right,Black
Logitech G502 X,116.99,Optical,"Wired, Wired, Wireless",25600,Right,White
Logitech M317,14.99,Laser,Wireless,,Both,Black
Corsair SABRE RGB PRO CHAMPION SERIES,59.99,Optical,Wired,18000,Right,Black
ROCCAT KONE Pro Air,52.99,Optical,Wireless,19000,Right,Black
Glorious Model I 2,79.98,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,White
Logitech G903,99.99,Optical,Wireless,12000,Both,Black / Blue
Asus P704 ROG CHAKRAM,,Optical,Wireless,16000,Right,Black
Razer DeathAdder 2013,39.97,Optical,Wired,6400,Right,Black
Logitech PRO X Superlight 2,159,Optical,"Wired, Wireless",32000,Right,Pink
Genius DX 110,8.19,Optical,Wired,1000,Both,Black
Logitech G Pro X Superlight,159.99,Optical,Wireless,25400,Right,Red
Corsair DARKSTAR,139.99,Optical,"Wireless, Bluetooth Wireless",26000,Right,Black
Razer Basilisk V3 X Hyperspeed,67.98,Optical,"Wired, Wireless, Bluetooth Wireless",18000,Right,Black
HP HyperX Pulsefire FPS Pro,36,Optical,Wired,16000,Right,Black
Glorious Model D 2 PRO,79.98,Optical,"Wired, Wireless",26000,Right,Black
Cooler Master MM711 Matte Black,26.49,Optical,Wired,16000,Right,Black
Razer Deathadder Elite Overwatch Edition,,Optical,Wired,16000,Right,Black / Orange
Razer Basilisk V2,77,Optical,Wired,20000,Right,Black
Asus ROG Pugio,294.33,Optical,Wired,7200,Both,Black
Logitech G303 SHROUD EDITION,99.42,Optical,Wireless,25000,Right,Black
Corsair KATAR ELITE,79.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Logitech M100,9.78,Optical,Wired,1000,Both,Black
Logitech G203 Prodigy,39.95,Optical,Wired,6000,Right,Black
MSI Clutch GM11,38.54,Optical,Wired,5000,Right,Black
Razer Orochi V2,69,Optical,Wireless,18000,Right,Black
Logitech G305 LIGHTSPEED,79.98,Optical,Wireless,12000,Right,White
Razer Viper,48,Optical,Wired,16000,Both,Pink / Gray
Patriot Viper 551,14.99,Optical,Wired,10000,Both,Black
Glorious Model O-,39.99,Optical,Wired,12000,Right,White
ROCCAT Burst Pro,22.48,Optical,Wired,16000,Right,Black
AOC GM500,9.99,Optical,Wired,5000,Both,Black
Asus ROG Gladius III,114.99,Optical,Wireless,26000,Right,Black
Logitech MX Vertical,89.99,Optical,Wireless,4000,Right,Gray / Silver
Verbatim 98113,,Optical,Wired,,Both,Black
NZXT Lift,,Optical,Wired,16000,Right,Black
MSI CLUTCH GM51,88.99,Optical,"Wired, Wireless",26000,Right,Black
FinalMouse Ultralight Pro,,Optical,Wired,3200,Right,Black
SteelSeries Rival 100,13.97,Optical,Wired,4000,Right,Gold
Asus TUF Gaming M4 Air,49.99,Optical,Wired,16000,Right,Black
Logitech M720 Triathlon,32.99,Optical,Bluetooth Wireless,1000,Right,Black
Logitech G303 Daedalus Apex,229.99,Optical,Wired,12000,Right,Black / Orange
Logitech Anywhere Mouse MX,158,Laser,Wireless,,Both,Black
Asus ROG Strix Impact II,55.98,Optical,Wired,6200,Right,Black
Corsair KATAR PRO,34.98,Optical,Wireless,10000,Right,Black
ROCCAT KONE Pro Air,61.58,Optical,Wireless,19000,Right,White
HP HyperX Pulsefire Haste 2,49.99,Optical,Wired,3200,Right,Black
Corsair SABRE RGB PRO WIRELESS CHAMPION SERIES,,Optical,Wireless,26000,Right,Black
Razer Basilisk V3 Pro + Wireless Charging Puck,169.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
Corsair M65 PRO RGB FPS,48.47,Optical,Wired,12000,Right,Black
Lenovo GX30M39704 300,7.95,Laser,Wired,,Both,Black / Orange
HP HyperX Pulsefire Haste,69.98,Optical,Wireless,16000,Right,White
Logitech G305 LIGHTSPEED,42.99,Optical,Wireless,12000,Right,Blue / Green
Logitech M330 SILENT PLUS,19.98,Optical,Wireless,1000,Right,Black
Logitech M510,24.75,Laser,Wireless,1000,Right,Black
Redragon Mammoth,,Laser,Wired,16400,Right,Black / Red
Logitech M570,59.99,Trackball,Wireless,,Right,Black
Cooler Master MM710 Glossy Black,22.99,Optical,Wired,16000,Right,Black
Logitech MX Master,118,Optical,Wireless,1600,Right,Black / Copper
Cooler Master MM710 Matte Black,24.99,Optical,Wired,16000,Right,Black
Glorious Model O-,39.99,Optical,Wired,12000,Right,Black
NZXT Lift,,Optical,Wired,16000,Right,White / Black
Razer Viper Ultimate,87.99,Optical,Wireless,20000,Both,White / Gray
Corsair IRONCLAW RGB FPS/MOBA,59.99,Optical,Wired,18000,Right,Black
Logitech G403 Prodigy,60.65,Optical,Wired,12000,Right,Black
Logitech G602,204.97,Optical,Wireless,2500,Right,Black / Silver
Logitech G502 Proteus Core,,Optical,Wired,12000,Right,Black / Blue
Asus TUF Gaming M4 Wireless,59.99,Optical,Wireless,,Right,Black
Endgame Gear XM2we,89.99,Optical,"Wired, Wireless",19000,Right,Black
Razer DeathAdder Chroma,,Optical,Wired,10000,Right,Black
Asus ROG Keris Wireless EVA Edition,126,Optical,Wired,,Both,Black / Purple
Razer DeathAdder V2 Mini,65.33,Optical,Wired,8500,Right,Black
Razer Naga X,79.99,Optical,Wired,18000,Right,Black
Logitech G203 Lightsync,38.99,Optical,Wired,8000,Right,Purple
ROCCAT Kone AIMO Remastered,55.65,Optical,Wired,16000,Right,White
Logitech G Pro,145.56,Optical,Wired,12000,Right,Black
Razer Mamba Tournament Edition,79.9,Laser,Wired,16000,Right,Black
Asus ROG Gladius III,79.98,Optical,Wired,26000,Right,Black
Corsair M55 RGB Pro,39.99,Optical,Wired,12400,Both,Black
Microsoft MHC-00001,193.4,Optical,Wireless,,Both,Black
Logitech M185,13.4,Optical,Wireless,,Both,Gray
Asus TUF Gaming M3,43.96,Optical,Wired,7000,Right,Black
Corsair KATAR PRO XT,32.99,Optical,Wired,12400,Right,Black
Logitech G203 Lightsync,26.25,Optical,Wired,8000,Right,Blue
Logitech MX518,99,Optical,Wired,16000,Right,Black
KLIM Aim,9.97,Optical,Wired,7000,Right,Silver
HP HyperX Pulsefire Surge,40.51,Optical,Wired,16000,Right,Black
Corsair Harpoon RGB,39.99,Optical,Wired,6000,Right,Black
SteelSeries Prime,39.99,Optical,Wired,18000,Right,Black
Razer Naga V2 HyperSpeed,99.99,Optical,"Wireless, Bluetooth Wireless",30000,Right,Black
Logitech M705,29.99,Laser,Wireless,,Right,Black
Cooler Master MM712,58.19,Optical,"Wired, Wireless, Bluetooth Wireless",19000,Right,Black
Logitech G300S,44,Optical,Wired,2500,Both,Black / Blue
Gigabyte AORUS M2,24.99,Optical,Wired,6200,Both,Black
Asus TUF Gaming M3 Gen II,24.99,Optical,Wired,8000,Right,Black / Yellow
Logitech G403 Prodigy,189.97,Optical,Wireless,12000,Right,Black
UtechSmart Venus,32.99,Laser,Wired,16400,Right,Black
Endgame Gear XM2we,89.99,Optical,"Wired, Wireless",19000,Right,White
Corsair SCIMITAR PRO RGB,59.99,Optical,Wired,16000,Right,Black
Razer Lancehead Tournament Edition,77.98,Optical,Wired,16000,Both,Pink
Logitech MX Master,146.24,Laser,Bluetooth Wireless,1600,Right,Brown / Black
HP HyperX Pulsefire Haste 2,89.99,Optical,"Wired, Wireless, Bluetooth Wireless",3200,Right,White
ROCCAT Kone XP Air,109.99,Optical,"Wired, Wireless, Bluetooth Wireless",19000,Right,Black
Mad Catz R.A.T. 3,,Optical,Wired,3500,Right,Black
Asus ROG Gladius II Origin,98.15,Optical,Wired,12000,Right,Black
Logitech G102 LIGHTSYNC RGB,31.99,Optical,Wired,8000,Right,White
Logitech G900 CHAOS SPECTRUM,98.98,Optical,Wireless,12000,Both,Black
EVGA X17,29,Optical,Wired,16000,Right,Black / Gray
Corsair DARK CORE RGB,,Optical,Wireless,16000,Right,Black
Pulsar X2,,Optical,"Wired, Wireless",26000,Right,Black
MSI CLUTCH,38.98,Optical,Wired,6400,Right,Black
TeckNet M268-Black,,Optical,Wired,3000,Right,Black
Glorious Model D-,39.99,Optical,Wired,12000,Right,White
Razer Orochi V2 Quartz,68.48,Optical,Wireless,18000,Right,Pink / Gray
Glorious Model I,69.65,Optical,Wired,19000,Right,Black / Red
Cooler Master MM731,41.2,Optical,Wireless,19000,Right,Black
ROCCAT Kone AIMO Remastered,65.81,Optical,Wired,16000,Right,Black
Logitech G PRO Hero,99.99,Optical,Wired,25600,Right,Black
Cooler Master MM720 Glossy,20.6,Optical,Wired,16000,Right,White
Glorious Model O 2,64.98,Optical,Wired,26000,Right,Black
Genius DX 110,12.47,Optical,Wired,1000,Both,Black
Pulsar Xlite V2,,Optical,Wireless,20000,Right,White
Razer Viper Ultimate w/Dock,,Optical,Wireless,20000,Both,Yellow / Black
HP QY777AA,9.75,Optical,Wired,800,Both,Black
SteelSeries Rival 310,69.98,Optical,Wired,12000,Right,Black
SteelSeries Prime+,44,Optical,Wired,18000,Right,Black
Logitech MX Master 3,120.09,Laser,Wireless,4000,Right,Silver
Asus ROG Chakram X,,Optical,"Wired, Wireless, Bluetooth Wireless",36000,Right,Black
Razer Mamba Wireless 2018,101,Optical,Wireless,16000,Right,Black / Green
Asus ROG GLADIUS II CORE,49.99,Optical,Wired,6200,Right,Black
Razer Lancehead,191.15,Laser,Wireless,16000,Both,Black / Green
SteelSeries Rival 100,,Optical,Wired,4000,Right,Black / Orange
Razer DeathAdder V3 Pro Faker Edition,,Optical,"Wired, Wireless",30000,Right,Red / Black
Pulsar X2 Mini,,Optical,"Wired, Wireless",26000,Right,White
Razer Atheris,32.9,Optical,Wireless,7200,Right,Black
SteelSeries Sensei Ten,69.98,Optical,Wired,18000,Right,Black
Cooler Master MM720 Matte,24.99,Optical,Wired,16000,Right,Black
Cooler Master MM711 Glossy White,29.99,Optical,Wired,16000,Right,White
Mad Catz The Authentic R.A.T 8+,91.36,Optical,Wired,16000,Right,Black
Glorious Model D-,39.99,Optical,Wired,12000,Right,Black
Gigabyte AORUS M5,39,Optical,Wired,16000,Right,Black
Dell MS116,17.99,Optical,Wired,1000,Both,Black
HP HyperX Pulsefire Haste,29.99,Optical,Wired,16000,,Black / Red
SteelSeries Prime Wireless,92.91,Optical,Wireless,18000,Right,Black
Cooler Master MM730,22.11,Optical,Wired,16000,Right,Black
Microsoft U7Z-00031,7.99,Optical,Wireless,,Both,Red
Glorious Model I,64.36,Optical,Wired,19000,Right,White / Red
Razer Basilisk,,Optical,Wired,16000,Right,Pink
ROCCAT Kone XP Air,109.99,Optical,"Wired, Wireless, Bluetooth Wireless",19000,Right,White
Razer DeathAdder,209.99,Laser,Wired,3500,Left,Black
Cherry MC 1000,9.94,Optical,Wired,1200,Both,Black
Glorious Model O 2,64.98,Optical,Wired,26000,Right,White
Redragon Centrophorus M601,,Optical,Wired,2000,Right,Black / Red
Razer Pro Click,99.08,Optical,Wireless,16000,Right,White
ROCCAT Burst Pro,24.99,Optical,Wired,16000,Right,White
HP HyperX Pulsefire Haste,39.99,Optical,Wired,16000,Right,White / Pink
EVGA X20,52.39,Optical,"Wired, Wireless, Bluetooth Wireless",16000,Right,Gray / Black
GameMax Tornado,,Optical,Wired,2000,Right,Black
Mad Catz ‎R.A.T Pro X3 Supreme Limited Edition,,Optical,Wired,16000,Right,Black / Gold
Cooler Master MM711 Matte White,28.99,Optical,Wired,16000,Right,White
Logitech M170,12.99,Optical,Wireless,,Both,Gray
Logitech MX Ergo Plus,95.96,Optical,Wireless,440,Right,Black
Logitech LIFT,64.44,Optical,"Wireless, Bluetooth Wireless",4000,Right,White
ROCCAT KONE Pure Ultra,51.96,Optical,Wired,16000,Right,White
Logitech G500s Laser Gaming Mouse,,Laser,Wired,8200,Right,Black / Silver
Razer DeathAdder V2 Pro - Genshin Impact Edition,199.99,Optical,"Wired, Wireless, Bluetooth Wireless",20000,Right,Blue / White
HP HyperX Pulsefire Raid,34.99,Optical,Wired,16000,Right,Black
Pulsar Xlite V2,,Optical,Wireless,20000,Right,Black
Asus ROG Chakram Core,,Optical,Wired,16000,Right,Black
Anker AK-98ANWVM-UBA,18.98,Optical,Wireless,1600,Right,Black
MSI CLUTCH GM31,59.99,Optical,"Wired, Wireless",12000,Right,Black
Razer Lancehead Tournament Edition,59.99,Optical,Wired,16000,Both,Black / Green
3Dconnexion CadMouse Pro,,Optical,Wireless,7200,Left,Black
Logitech G603,,Optical,Wireless,12000,Right,Black
Logitech G703 (Black),70.2,Optical,Wireless,12000,Right,Black
MSI CLUTCH,38.5,Optical,Wired,6400,Right,Black
SteelSeries Rival 5 Destiny Edition,95.9,Optical,Wired,18000,Right,White / Silver
V7 Full size USB Optical Mouse,14.98,Optical,Wired,1000,Both,Silver / Black
V7 M30P10-7N,9.97,Optical,Wired,1000,Both,Black
Endgame Gear XM1r,67.67,Optical,Wired,19000,Right,White / Gold
Zowie EC2-A,,Optical,Wired,3200,Right,Black
BenQ Zowie EC2-B,,Optical,Wired,3200,Right,Black
SteelSeries Sensei 310,98.4,Optical,Wired,12000,Both,Black
Logitech LIFT,64.95,Optical,"Wireless, Bluetooth Wireless",4000,Right,Black
Corsair SABRE PRO CHAMPION SERIES,54.99,Optical,Wired,18000,Right,Black
Logitech G500,179.99,Laser,Wired,5700,Right,Black / Silver
Logitech ERGO M575,44.99,Optical,Bluetooth Wireless,2000,Right,Black / Blue
Xtrfy M4 RGB,115.21,Optical,"Wired, Wireless",16000,Right,White
Kensington K72356US,7.99,Optical,Wired,,Both,Black
A4Tech Bloody V7,35.5,Optical,Wired,3200,Both,Black / Red
Razer Lancehead Tournament Edition Mercury,136.21,Optical,Wired,16000,Both,White / Gray
Razer Basilisk,79,Optical,Wired,16000,Right,Black / Green
Asus ROG Spatha,,Laser,Wireless,8200,Right,Black
Alienware AW558,,Optical,Wired,5000,Right,Black / Silver
Redragon M990,,Laser,Wired,24000,Right,Black
Lamzu Atlantis OG,,Optical,"Wired, Wireless",26000,Right,Black
Logitech G305 LIGHTSPEED,,Optical,Wireless,12000,Right,White / Black
Asus ProArt Mouse MD300,,Optical,"Wired, Wireless, Bluetooth Wireless",4200,Right,Black
Keychron M3,49,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
ROCCAT Kain 100 Aimo RGB,79.98,Optical,Wired,8500,Right,Black
Asus ROG Strix Impact II,66.83,Optical,Wireless,16000,Right,Black
Adesso HC-3003US,7.95,Optical,Wired,1000,Both,Black
ROCCAT Kain 120 Aimo RGB,93.6,Optical,Wired,16000,Right,Black
Logitech M185,13.4,Laser,Wireless,,Both,Black
EVGA X15 MMO Gaming,,Optical,Wired,16000,Right,Black
Targus AMU81USZ,6.99,Optical,Wired,1000,,Black
Corsair M65 PRO RGB FPS (White),,Optical,Wired,12000,Right,White
Endgame Gear XM1r,,Optical,Wired,19000,Right,Black / Gold
Verbatim 99768 Commuter,10.95,Optical,Wireless,,Both,White
Anker AK-98ANWVM-BA,22.99,Optical,Wired,1000,Right,Black
ROCCAT KONE Pro,50.7,Optical,Wired,19000,Right,White
A4Tech Bloody AL90,59.99,Laser,Wired,,Right,Black
Corsair GLAIVE RGB PRO,,Optical,Wired,18000,Right,Black
Asus ROG Strix Impact,91.72,Optical,Wired,5000,Both,Black
Redragon Perdition,,Laser,Wired,16400,Right,Black / Red
Logitech MX MASTER 2S (White),,Laser,Wireless,4000,Right,White
Redragon M801P Sniper Pro,,Optical,Wired,16000,Right,Black
Logitech M535,12.99,Optical,Bluetooth Wireless,,Both,Blue
Keychron M1,,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,White
Cooler Master MM731,32.26,Optical,Wireless,19000,Right,White / Gray
Logitech Optical USB Mouse,10.98,Optical,Wired,800,Both,Black
Corsair GLAIVE RGB,,Optical,Wired,16000,Right,Black
Cooler Master MM711 Wilderness Limited Edition,28.95,Optical,Wired,16000,Right,Green
Xtrfy M4 RGB,65,Optical,Wired,16000,Right,Blue
Logitech MX Ergo,84.49,Optical,Wireless,440,Right,Black
Razer Atheris,,Optical,Wireless,7200,Right,White
Keychron M3 Mini,49,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Endgame Gear OP1we,99.99,Optical,"Wired, Wireless",19000,Right,White
Corsair Sabre RGB,,Optical,Wired,10000,Right,Black
Lenovo 06P4069,16.29,Optical,Wired,400,Both,Black
Adesso HC-3003PS,7.95,Optical,Wired,1000,Both,Black
HP HyperX Pulsefire Haste 2,49.99,Optical,Wired,3200,Right,White
Aula SI-9008,22.98,Optical,Wired,3500,Right,Black
Microsoft U7Z-00021,14.14,Laser,Wireless,,Both,Pink
Genius NX-7000,,Laser,Wireless,1200,Both,Black / White
MSI CLUTCH GM50,,Optical,Wired,7200,Right,Black
Zowie ZA13-C,,Optical,Wired,3200,Right,Black
Razer DeathAdder V2 - Halo Infinite,77.5,Optical,Wired,20000,Right,Green / Black
Razer Naga Left-Handed Edition,99.99,Optical,Wired,20000,Left,Black
Xtrfy M4 RGB,,Optical,Wired,16000,Right,White
HP X500,,Optical,Wired,,Both,Black
Redragon ‎M711-FPS COBRA RGB,,Optical,Wired,24000,Right,Black
Logitech MX ANYWHERE 3,63.99,Laser,"Wireless, Bluetooth Wireless",4000,Right,White
Logitech M500,,Laser,Wired,1000,Right,Black
Razer ABYSSUS,,Optical,Wired,3500,Both,Black
Logitech MX Anywhere 2,124.99,Laser,Wireless,1600,Right,Black / Gold
Corsair M55 RGB PRO,,Optical,Wired,12400,Both,White / Gray
Logitech M650 L,,Optical,"Wireless, Bluetooth Wireless",4000,Right,Black
Microsoft Mobile Mouse 6000,307.21,Laser,Wireless,,,Purple
MSI CLUTCH,74.79,Optical,Wireless,6400,Right,Black
Dell MS3220,23.99,Laser,Wired,3200,Right,Black
Asus P702 ROG GLADIUS II WIRELESS,99.99,Optical,Wireless,16000,Right,Black / Red
