name,price,socket,form_factor,max_memory,memory_slots,color
Gigabyte B650M D3HP AX,139.99,AM5,Micro ATX,192,4,Black / Gray
Asus PRIME B650M-A AX II,168.99,AM5,Micro ATX,192,4,Black / Silver
ASRock B650I Lightning Wifi,199.99,AM5,Mini ITX,96,2,Black
ASRock X870E Taichi,468.95,AM5,EATX,256,4,Black
MSI MPG X870E EDGE TI WIFI,289.99,AM5,ATX,256,4,Silver / White
ASRock Phantom Gaming X870E Nova WiFi,299.99,AM5,ATX,256,4,Black / Purple
MSI PRO X870E-P WIFI,244.94,AM5,ATX,256,4,Black / Silver
MSI PRO B850-P WIFI,199.99,AM5,ATX,256,4,Silver / Black
Gigabyte B760M DS3H AX,129.99,LGA1700,Micro ATX,192,4,Black
ASRock B850 Riptide WiFi,199.99,AM5,ATX,256,4,Black
MSI B840 GAMING PLUS WIFI,149.99,AM5,ATX,256,4,Silver / Black
ASRock B650M Pro RS,220.07,AM5,Micro ATX,256,4,Black / Silver
Asus TUF GAMING A520M-PLUS WIFI,110.46,AM4,Micro ATX,128,4,Black / Orange
ASRock B760M PG Riptide Wifi,119.99,LGA1700,Micro ATX,192,4,Black
ASRock B650 Steel Legend WiFi,280.35,AM5,ATX,256,4,White / Silver
Gigabyte B650 AORUS ELITE AX ICE,199.74,AM5,ATX,192,4,Silver
MSI X670E GAMING PLUS WIFI,189.99,AM5,ATX,192,4,Silver / Black
Gigabyte B650 AORUS ELITE AX V2,199.99,AM5,ATX,192,4,Black / Silver
Asus ROG STRIX X870-I GAMING WIFI,448.99,AM5,Mini ITX,128,2,Black
Asus ROG STRIX Z790-A GAMING WIFI II,590,LGA1700,ATX,192,4,Black / Silver
Asus ROG ZENITH II EXTREME ALPHA,,sTRX4,EATX,256,8,Black / Silver
MSI PRO Z790-P WIFI,179.99,LGA1700,ATX,192,4,Black / Silver
ASRock B760 Pro RS/D4,154.05,LGA1700,ATX,128,4,Silver / Black
ASRock B850M Steel Legend WiFi,179.99,AM5,Micro ATX,256,4,Silver / Black
Asus TUF GAMING B650M-PLUS WIFI,259,AM5,Micro ATX,192,4,Black
MSI B760M GAMING PLUS WIFI,252.19,LGA1700,Micro ATX,192,4,Black / Silver
Gigabyte B550M DS3H AC,99.99,AM4,Micro ATX,128,4,Black
Gigabyte B650M GAMING WIFI6E,177.17,AM5,Micro ATX,128,2,Silver / Black
MSI PRO B760-P WIFI DDR4,159.95,LGA1700,ATX,128,4,Black
Gigabyte B650 EAGLE,212.19,AM5,ATX,192,4,Black / Gray
MSI X870 GAMING PLUS WIFI,249.99,AM5,ATX,256,4,Black / White
Asus TUF GAMING B760-PLUS WIFI,159.99,LGA1700,ATX,192,4,Black
ASRock Z790 PRO RS WIFI,229.68,LGA1700,ATX,192,4,Silver / Black
Gigabyte A520M S2H,72.98,AM4,Micro ATX,64,2,Black
Asus TUF GAMING X570-PLUS (WI-FI),,AM4,ATX,128,4,Black / Gold
Asus Prime B450M-A II,140,AM4,Micro ATX,128,4,
Gigabyte B850I AORUS PRO,259.99,AM5,Mini ITX,128,2,
Gigabyte A520M DS3H V2,101.9,AM4,Micro ATX,128,4,Gray / Brown
MSI B550 GAMING GEN3,124.58,AM4,ATX,128,4,Black
MSI MAG B850M MORTAR WIFI,239.99,AM5,Micro ATX,256,4,Black / Green
Gigabyte B550 AORUS ELITE AX V2,149.99,AM4,ATX,128,4,Black / Silver
ASRock B850 Steel Legend WiFi,209.99,AM5,ATX,256,4,White / Black
MSI MPG B650I EDGE WIFI,289.99,AM5,Mini ITX,128,2,Black / Silver
MSI MAG Z790 TOMAHAWK WIFI,189.99,LGA1700,ATX,192,4,Black
MSI B450 TOMAHAWK MAX,,AM4,ATX,128,4,Black
Gigabyte B550I AORUS PRO AX,189.99,AM4,Mini ITX,64,2,Black / Silver
Asus ROG STRIX B860-I GAMING WIFI,219.99,LGA1851,Mini ITX,128,2,Black / Silver
ASRock H370M-HDV,74.98,LGA1151,Micro ATX,64,2,Black / Silver
Asus ROG STRIX B550-A GAMING,241.13,AM4,ATX,128,4,Black / White
NZXT N7 B650E,260.88,AM5,ATX,128,4,White
Gigabyte X870E AORUS PRO,349.99,AM5,ATX,256,4,Black
MSI Z790 GAMING PLUS WIFI,169.99,LGA1700,ATX,192,4,Black
MSI MPG B850I EDGE TI WIFI,249.99,AM5,Mini ITX,128,2,Silver
ASRock B650 PRO RS,147.02,AM5,ATX,256,4,Black / Silver
Gigabyte Z790 S WIFI DDR4 (rev. 1.0),,LGA1700,ATX,128,4,Black
Gigabyte B650E AORUS ELITE X AX ICE,209,AM5,ATX,192,4,Silver / White
MSI PRO B840-P WIFI,159.99,AM5,ATX,256,4,Silver
ASRock B550M-ITX/ac,99.99,AM4,Mini ITX,64,2,Silver / Black
Gigabyte X870E AORUS MASTER,499.99,AM5,ATX,256,4,Black
ASRock B850 Pro-A,139.99,AM5,ATX,256,4,Black / Silver
ASRock B760M-H2/M.2,153.88,LGA1700,Micro ATX,96,2,Black / Silver
Asus ROG STRIX B850-E GAMING WIFI,339,AM5,ATX,256,4,Black
MSI MAG B650M MORTAR WIFI,198.99,AM5,Micro ATX,192,4,Black
ASRock B650M Pro X3D WiFi,139.99,AM5,Micro ATX,256,4,Black / Silver
MSI PRO X870-P WIFI,273,AM5,ATX,256,4,Black / Silver
Asus PRIME B550-PLUS AC-HES,129.99,AM4,ATX,128,4,Silver / Black
Asus PRIME X870-P WIFI,219.99,AM5,ATX,192,4,Black / Silver
Gigabyte B650M AORUS ELITE AX,199.99,AM5,Micro ATX,192,4,Black
ASRock B550 Phantom Gaming-ITX/ax,149.99,AM4,Mini ITX,64,2,Silver / Black
Asus Z790-AYW WIFI W II,189.99,LGA1700,ATX,192,4,White
ASRock B850M Riptide WiFi,169.99,AM5,Micro ATX,256,4,Black
Gigabyte B760M DS3H DDR4,109.99,LGA1700,Micro ATX,128,4,Black
Asus TUF GAMING B760M-PLUS WIFI II,263.77,LGA1700,Micro ATX,192,4,Black / Orange
Gigabyte B650M AORUS ELITE AX ICE,199.99,AM5,Micro ATX,192,4,Silver
Asus ROG CROSSHAIR X670E HERO,,AM5,ATX,192,4,Black / Silver
Asus PRIME H610I-PLUS D4-CSM,112.99,LGA1700,Mini ITX,64,2,Silver / Black
Asus PRIME B760M-A AX,131.74,LGA1700,Micro ATX,128,4,Silver / Black
Gigabyte B550M DS3H,137.64,AM4,Micro ATX,128,4,Black / Gold
MSI PRO B650-P WIFI,169.99,AM5,ATX,192,4,Black
ASRock B650M-H/M.2+,99.99,AM5,Micro ATX,96,2,Silver / Black
ASRock X870 Steel Legend WiFi,259.99,AM5,ATX,256,4,White
Asus ROG MAXIMUS Z790 DARK HERO,999.99,LGA1700,ATX,192,4,Black
Gigabyte Z790 AORUS ELITE X WIFI7,239.99,LGA1700,ATX,192,4,Black
ASRock H610M/ac,89.99,LGA1700,Micro ATX,64,2,Silver / Black
Gigabyte B650I AORUS ULTRA,237,AM5,Mini ITX,96,2,Black / Silver
Gigabyte A620M S2H,110.82,AM5,Micro ATX,96,2,Gray / Black
Gigabyte Z890 EAGLE WIFI7,224.27,LGA1851,ATX,256,4,Silver / Black
Asus ROG STRIX B450-F GAMING II,269.27,AM4,ATX,128,4,Black
Asus ROG STRIX X870-F GAMING WIFI,419.99,AM5,ATX,192,4,Black
Gigabyte B450M DS3H,153.26,AM4,Micro ATX,128,4,Black / Silver
Asus PRIME B840-PLUS WIFI,149.99,AM5,ATX,192,4,Silver / Black
ASRock B850 LiveMixer WiFi,189.99,AM5,ATX,256,4,Silver / Black
Asus TUF GAMING B550M-PLUS WIFI II,199.99,AM4,Micro ATX,128,4,Black / Gray
ASRock B450M PRO4 R2.0,99.99,AM4,Micro ATX,128,4,Gray / Black
ASRock B660M Pro RS,107.99,LGA1700,Micro ATX,128,4,Gray / Black
ASRock A620M Pro RS WiFi,148.93,AM5,Micro ATX,256,4,Silver / Black
Asus ROG STRIX X670E-E GAMING WIFI,384,AM5,ATX,192,4,Black / Silver
ASRock H510M-HDV/M.2 SE,94.31,LGA1200,Micro ATX,64,2,Black / Silver
Asus ROG STRIX B550-F GAMING,219.99,AM4,ATX,128,4,Black
ASRock B550M-HDV,89.99,AM4,Micro ATX,64,2,Black
MSI PRO Z890-P WIFI,189.99,LGA1851,ATX,256,4,Black / Silver
MSI PRO B650-A WIFI,169.99,AM5,ATX,256,4,Black / Silver
ASRock B850M-X WiFi,124.99,AM5,Micro ATX,128,2,Black / White
Gigabyte B550M AORUS ELITE,134,AM4,Micro ATX,128,4,Black / Orange
ASRock Phantom Gaming X870 Riptide WiFi,249.99,AM5,ATX,256,4,Black / Purple
Asus PRIME B650M-A WIFI II,237.07,AM5,Micro ATX,192,4,Black / Silver
MSI MPG B850 EDGE TI WIFI,309.99,AM5,ATX,256,4,Silver / White
MSI PRO B760M-A WIFI DDR4,154.99,LGA1700,Micro ATX,128,4,Black
Gigabyte B550M GAMING X WIFI6,154.99,AM4,Micro ATX,128,4,Gray / Black
MSI B650M PROJECT ZERO,229.99,AM5,Micro ATX,256,4,Silver / Black
Gigabyte B650M GAMING WIFI,,AM5,Micro ATX,96,2,Black / Silver
ASRock H81 Pro BTC,44.98,LGA1150,ATX,16,2,Black / Silver
Gigabyte B760 GAMING X AX,239.94,LGA1700,ATX,192,4,Black / Gray
Asus ROG STRIX B450-F GAMING,129.99,AM4,ATX,128,4,Black
MSI PRO-H610M-E-DDR4,,LGA1700,Micro ATX,64,2,Black
Asus B760M-AYW WIFI D4 II,99.99,LGA1700,Micro ATX,64,2,Black / Silver
ASRock X870E Taichi Lite,299.99,AM5,EATX,256,4,Black / Silver
MSI MPG Z790 CARBON MAX WIFI II,469.99,LGA1700,ATX,256,4,Black
Asus PRIME B760-PLUS,,LGA1700,ATX,192,4,Black / Silver
Asus PRIME A320M-K,,AM4,Micro ATX,32,2,Black / White
NZXT N9 X870E,459.99,AM5,ATX,192,4,Black
Asus ROG CROSSHAIR X870E APEX,749.99,AM5,ATX,128,2,Black
Asus ROG STRIX Z890-E GAMING WIFI,424,LGA1851,ATX,192,4,Black
Asus TUF GAMING X670E-PLUS WIFI,235.99,AM5,ATX,192,4,Black / Orange
Gigabyte B650I AX,223.75,AM5,Mini ITX,96,2,Black
Asus ROG STRIX Z790-E GAMING WIFI,399.99,LGA1700,ATX,192,4,Black
Gigabyte B650 GAMING X AX,166.63,AM5,ATX,192,4,Black / Gray
ASRock B660M-HDV,107.51,LGA1700,Micro ATX,64,2,Gray / Black
Gigabyte X670 AORUS ELITE AX,239.99,AM5,ATX,192,4,Black
MSI PRO B850M-P WIFI,179.99,AM5,Micro ATX,256,4,Black / Silver
Gigabyte B450M K,99.95,AM4,Micro ATX,64,2,Brown / Silver
ASRock G41M-S,57.7,LGA775,Micro ATX,8,2,Blue / White
Gigabyte X870E AORUS ELITE WIFI7 ICE,329.99,AM5,ATX,256,4,White
Gigabyte X870E AORUS XTREME AI TOP,799.99,AM5,EATX,256,4,Black
MSI B650M GAMING WIFI,,AM5,Micro ATX,96,2,Silver / Black
ASRock B860I WiFi,159.99,LGA1851,Mini ITX,128,2,Black
Asus TUF GAMING B650-PLUS,159.99,AM5,ATX,128,4,Black / Orange
Gigabyte GA-B250M-DS3H,203.44,LGA1151,Micro ATX,64,4,Black / Gold
Gigabyte B650M S2H,147.47,AM5,Micro ATX,96,2,Black / Gray
MSI B550M PRO-VDH,153.09,AM4,Micro ATX,128,4,Black
ASRock B450M Steel Legend,92.67,AM4,Micro ATX,64,4,Black / White
MSI MAG Z790 TOMAHAWK MAX WIFI,248.43,LGA1700,ATX,192,4,Black / Yellow
ASRock B850 Pro-A WiFi,177.99,AM5,ATX,256,4,Black / Silver
NZXT N9 X870E,459.99,AM5,ATX,192,4,White
ASRock B850M Pro RS,149.99,AM5,Micro ATX,256,4,Silver / Black
Asus B650E MAX GAMING WIFI,169.99,AM5,ATX,192,4,Black / Silver
MSI Z390-A PRO,236.99,LGA1151,ATX,128,4,Brown / Black
Asus TUF GAMING B850-BTF WIFI W,279.99,AM5,ATX,256,4,White / Silver
ASRock H610M-HDV/M.2+ D5,89.57,LGA1700,Micro ATX,96,2,White / Black
ASRock B760M Pro RS WiFi White,,LGA1700,Micro ATX,192,4,White
MSI PRO B650M-B,154.86,AM5,Micro ATX,96,2,Black
MSI B450M PRO-VDH MAX,110,AM4,Micro ATX,64,4,Black / Silver
Asus PRIME B650-PLUS,174.02,AM5,ATX,192,4,Black / Silver
Asus PRIME Z790-P WIFI,249.99,LGA1700,ATX,192,4,Black / Silver
Gigabyte Z890 AORUS ELITE WIFI7,245.4,LGA1851,ATX,256,4,Black
Gigabyte B450M DS3H WIFI,,AM4,Micro ATX,128,4,Brown / Black
Asus TUF GAMING Z890-PLUS WIFI,260,LGA1851,ATX,192,4,Black
ASRock B850M-X,111.98,AM5,Micro ATX,128,2,Black / White
Asus TUF GAMING Z790-PRO WIFI,,LGA1700,ATX,192,4,Black
Asus ROG STRIX B650E-E GAMING WIFI,404.73,AM5,ATX,192,4,Black
Gigabyte B850M DS3H,154.99,AM5,Micro ATX,256,4,Gray / Black
ASRock B650M PG RIPTIDE WIFI,185.99,AM5,Micro ATX,256,4,Black
MSI X870E GAMING PLUS WIFI,329.99,AM5,ATX,256,4,Black
Gigabyte Z790 AORUS PRO X,329.99,LGA1700,ATX,192,4,Silver
Gigabyte B650M D3HP,169.44,AM5,Micro ATX,192,4,Black
Asus TUF GAMING A620M-PLUS WIFI,155.99,AM5,Micro ATX,192,4,Black / Orange
Asus ProArt Z890-CREATOR WIFI,489.99,LGA1851,ATX,256,4,Black / Gold
Gigabyte TRX40 AORUS XTREME,1062.9,sTRX4,XL ATX,256,8,Black / Silver
Asus PRIME A520M-K,,AM4,Micro ATX,64,2,Black / Silver
ASRock B550 Phantom Gaming 4,99.99,AM4,ATX,128,4,Silver / Black
Gigabyte X870 GAMING X WIFI7,259.99,AM5,ATX,256,4,Black
MSI Z790 PROJECT ZERO,279.99,LGA1700,ATX,256,4,Silver / Black
Asus TUF GAMING X870E-PLUS WIFI7,359.99,AM5,ATX,256,4,Black / Silver
Asus X870 MAX GAMING WIFI7,233.65,AM5,ATX,256,4,Black
Asus ROG STRIX X570-E GAMING WIFI II,495.31,AM4,ATX,128,4,Black
Gigabyte Z790M AORUS ELITE AX ICE,199.99,LGA1700,Micro ATX,192,4,White / Silver
Gigabyte Z890M AORUS ELITE WIFI7 ICE,189.95,LGA1851,Micro ATX,256,4,White / Silver
MSI B760 GAMING PLUS WIFI DDR4,243.73,LGA1700,ATX,128,4,Black / Silver
Gigabyte B760I AORUS PRO,199.99,LGA1700,Mini ITX,96,2,Silver / Black
Gigabyte X870 AORUS STEALTH ICE,309.99,AM5,ATX,256,4,White
Asus PRIME Z390-A,244.48,LGA1151,ATX,128,4,Silver / Black
Asus H110M-K,173.25,LGA1151,Micro ATX,32,2,Black / Gold
Gigabyte B550 AORUS ELITE V2,190.78,AM4,ATX,128,4,Black
MSI B450 TOMAHAWK,,AM4,ATX,64,4,Black / Silver
Asus PRIME B450M-K II,111.64,AM4,Micro ATX,64,2,Black
Asus ROG STRIX Z690-E GAMING WIFI,361.52,LGA1700,ATX,192,4,Black
Asus PRIME B550-PLUS,169.78,AM4,ATX,128,4,Black / White
Asus TUF GAMING B450-PLUS II,192.85,AM4,ATX,128,4,Black
MSI PRO B760M-P,124.98,LGA1700,Micro ATX,192,4,Black
MSI B760M PROJECT ZERO,206.99,LGA1700,Micro ATX,256,4,Silver / Black
MSI PRO Z690-A DDR4,,LGA1700,ATX,128,4,Black / Silver
Asus ROG MAXIMUS Z890 HERO,619.99,LGA1851,ATX,192,4,Black
Gigabyte B850 EAGLE WIFI7 ICE,342.89,AM5,ATX,256,4,White
ASRock B450M Pro4,,AM4,Micro ATX,128,4,Black / Silver
ASRock B650M PG Lightning,192.99,AM5,Micro ATX,256,4,Silver / Black
Gigabyte B650E AORUS STEALTH ICE,422.04,AM5,ATX,192,4,White / Silver
MSI PRO H610M-G WIFI DDR4,119.99,LGA1700,Micro ATX,64,2,Black / Silver
Gigabyte B850M EAGLE WIFI6E ICE,164.99,AM5,Micro ATX,256,4,White
ASRock A520M-ITX/ac,150.01,AM4,Mini ITX,64,2,Black / Silver
ASRock B850 Pro RS,177.99,AM5,ATX,256,4,Silver / Black
Gigabyte Z390 AORUS PRO WIFI,299.99,LGA1151,ATX,128,4,Black / Silver
Asus PRIME B650M-A II-CSM,159.99,AM5,Micro ATX,192,4,Silver / Black
MSI MPG X670E CARBON WIFI,479.99,AM5,ATX,192,4,Black
Gigabyte B560M DS3H AC,,LGA1200,Micro ATX,128,4,Black
ASRock Z790 Lightning WiFi,,LGA1700,ATX,256,4,Silver / Black
Asus PRIME A520M-A II/CSM,78.86,AM4,Micro ATX,128,4,Silver / Black
Asus X870 AYW GAMING WIFI W,219.99,AM5,ATX,256,4,White / Silver
ASRock H470M-HVS,59.99,LGA1200,Micro ATX,64,2,Black / Silver
ASRock A620M Pro RS,154.16,AM5,Micro ATX,256,4,Silver / Black
MSI MAG B860 TOMAHAWK WIFI,169.99,LGA1851,ATX,256,4,Black / Yellow
MSI MPG B650 EDGE WIFI,179.99,AM5,ATX,192,4,Black / Silver
Asus ROG STRIX B760-A GAMING WIFI,229.99,LGA1700,ATX,192,4,Silver / Black
Asus TUF GAMING B650M-PLUS,,AM5,Micro ATX,192,4,Black
ASRock B450M/AC,84.29,AM4,Micro ATX,64,4,Black
Asus ROG STRIX B850-G GAMING WIFI,259.99,AM5,Micro ATX,256,4,White
ASRock B650 Pro RS WiFi,160.98,AM5,ATX,256,4,Silver / Black
Gigabyte H610M H V3 DDR4,130.93,LGA1700,Micro ATX,64,2,Black / Silver
Asus ROG STRIX Z790-F GAMING WIFI II,579.99,LGA1700,ATX,192,4,Black
Asus PRIME B650M-K,188.27,AM5,Micro ATX,96,2,Silver / Black
MSI MAG B760M MORTAR WIFI II,199.98,LGA1700,Micro ATX,192,4,Silver / Black
Asus PRIME A620M-K,144.63,AM5,Micro ATX,96,2,Black / Silver
Asus PRIME Z390-P,188.65,LGA1151,ATX,128,4,Silver / Black
Gigabyte H410M H V2,108.61,LGA1200,Micro ATX,64,2,Gray / Black
MSI MEG X670E ACE,369.99,AM5,EATX,192,4,Black / Gold
Asus PRIME B550M-A AC,109.99,AM4,Micro ATX,128,4,Black / Silver
MSI B450 Gaming Plus MAX,162,AM4,ATX,128,4,Red / Black
Asus TUF GAMING B550-PLUS,207.05,AM4,ATX,128,4,Black
ASRock A520M-HVS,85.67,AM4,Micro ATX,64,2,Black / Silver
Asus PRIME B450M-A,127.78,AM4,Micro ATX,64,4,Black
NZXT N7 Z790,299.99,LGA1700,ATX,192,4,White / Black
MSI PRO Z790-P WIFI DDR4,205,LGA1700,ATX,128,4,Black / Silver
Gigabyte A520 AORUS ELITE,135.14,AM4,ATX,128,4,Black / Orange
Gigabyte A620M GAMING X,188.99,AM5,Micro ATX,192,4,Brown / Gray
Gigabyte Z790 AORUS PRO X WIFI7,299.99,LGA1700,ATX,192,4,Black
Asus ROG STRIX X670E-A GAMING WIFI,264.99,AM5,ATX,192,4,Silver / Black
ASRock B850 Pro RS WiFi,189.99,AM5,ATX,256,4,Silver / Black
